commit	subject	status	path	classification	durable_owner
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/client-rrf-k60-progress-final.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/client-rrf-k60-summary.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/collections-after.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/collections-before.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/commands.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/disk-after.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/disk-before.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/disk-final.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/evaluate_client_rrf_k60.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/execute_parity_basket.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/execution-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/input-inventory.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/native-rrf-report.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/native-rrf-summary.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/output-hashes.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/prep-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/prepare_parity_basket.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-index-lifecycle/lifecycle-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-index-lifecycle/run_lifecycle_evidence.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-sqlite-state-v2/measure_sqlite_state.py	superseded-local-state-backend	current active compact DuckDB applied-state spec
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-sqlite-state-v2/measurement.json	superseded-local-state-backend	current active compact DuckDB applied-state spec
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/baseline-thresholds.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/basket-five.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/diagnose_typer_alyze.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/diagnose_typer_bm25.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/diagnose_typer_offline_variants.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/diagnose_typer_rrf_ties.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/diagnose_typer_signal_ablation.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/five-progress.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/hashes.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/prep-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/ruff-partial-collection.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/typer-alyze-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/typer-alyze.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/typer-collection.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/typer-diagnostic-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/typer-diagnostic.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/typer-offline-variants-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/typer-offline-variants.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/typer-rrf-ties-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/typer-rrf-ties.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bm25-typer-diagnostic/versions.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/basket-progress-final.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/basket.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/bounded-collection-counts.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/bounded-parity-summary.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/collections-after-interruption.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/collections-before.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/commands.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/compose-config.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/disk-after-interruption.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/disk-before.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/execute_bounded_basket.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/execution-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/focused-pytest-final.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/full-pytest-final.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/full-pytest.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/git-diff-check-final.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/git-diff-check.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/hashes.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/input-inventory.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/interrupted-report.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/no-staged-files-final.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/no-staged-files.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/pinned-qdrant-integration-tests.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/pinned-qdrant-tests.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/prep-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/prepare_bounded_basket.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/qdrant-final-state.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/qdrant-ready.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/ruff-final.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/ruff.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/uv-lock-check-final.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/uv-lock-check.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/uv-sync-frozen-final.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-bounded-parity/uv-sync-frozen.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/baseline-thresholds.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/hashes.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/typer-dense-first-tie-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/typer-dense-first-tie.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/typer-dense-first-tie.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/typer-dense-weight-grid-fine-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/typer-dense-weight-grid-fine.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/typer-dense-weight-grid-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/typer-dense-weight-grid.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/typer_dense_weight_grid.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/typer_dense_weight_grid_fine.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-qdrant-global-fusion-investigation/versions.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-record-graph-reconciliation/after-inventory.txt	historical-branch-record-non-authoritative	triage research provenance index
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-record-graph-reconciliation/before-inventory.txt	historical-branch-record-non-authoritative	triage research provenance index
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-record-graph-reconciliation/commands.txt	historical-branch-record-non-authoritative	triage research provenance index
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-record-graph-reconciliation/moves.tsv	historical-branch-record-non-authoritative	triage research provenance index
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-record-graph-reconciliation/reference-validation.txt	historical-branch-record-non-authoritative	triage research provenance index
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-tantivy-typer-prototype/commands.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-tantivy-typer-prototype/frozen-config.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-tantivy-typer-prototype/hashes.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-tantivy-typer-prototype/preflight-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-tantivy-typer-prototype/preflight.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-tantivy-typer-prototype/preflight_tantivy.py	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-tantivy-typer-prototype/raw-lists.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-tantivy-typer-prototype/result.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-11-tantivy-typer-prototype/run-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
